"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Burundi","BDI","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2704.97591643446","2678.66781662373","2735.58945640054","2648.06795031663","2223.17991833597","2088.672641835","2093.43317662802","2151.72674509652","2069.46458033021","2007.7998489411","1992.48735065561","2017.34433216415","1926.52047815437","1934.60630719246","1877.94192361954","1910.02543448059","1891.73278447214","1886.81207349624","1856.36349471021","1865.32509771084","1886.92299293403","1917.02213532847","1955.80111911348","1987.00823865305","1880.23506381968","1854.41220810912","1824.71400510307","1790.05656094368","1751.52233009814","1718.80489631279","1699.89295124021","1654.73126680746",
"Belgium","BEL","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","96002.441383158","96096.5489912141","96011.589345853","99249.1915789147","100540.537486623","101946.122498552","104606.41325808","106080.11233298","106486.021659343","106909.377130899","110124.8951816","111607.981662862","112742.952423629","114200.163036654","114633.003455196","116807.173472487","117984.554806494","116703.041034461","115019.924182946","116456.36883084","117374.817460347","117928.317842573","118389.771791312","119969.005144297","122103.851145877","122592.482810827","121417.946653687","120726.229391691","121473.353998272","115922.472122544","122606.175442436","123150.896754828",
"Benin","BEN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5516.59652646278","5513.09557189662","5531.00120844222","5423.04104976675","5672.65172596967","5780.68806498837","5930.29211892031","5968.3992561197","6081.59878641656","6226.86433913428","6344.95790166697","6423.72095984603","6432.636403122","6503.49203100239","6390.63341289413","6427.68109886338","6610.62964056045","6719.25585913798","6655.46274647802","6577.29037322124","6666.09871445382","6874.40201526803","7259.86956446256","7617.52519487714","7658.42576327044","7817.71831711768","8166.36762047537","8620.67790033441","8941.0825397746","9111.93084817886","9453.8934968233","9694.16972715164",
"Burkina Faso","BFA","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2410.95600545884","2383.6628041703","2426.13300684861","2416.37844417029","2507.23264652707","2732.59992743115","2854.71095803271","2999.15051093418","3147.58932714852","3133.48926213715","3258.55995792719","3319.32837773924","3492.94661703238","3588.56570942547","3834.66677259618","3977.19800464644","4048.86359722272","4218.84608649148","4284.13008142232","4577.22078073547","4811.56534275053","5043.80704976908","5256.73895214271","5404.33564251822","5454.41475055693","5606.56248180481","5777.34636033101","5978.86443804419","6116.35100347848","6116.7372370891","6284.84264380335","6171.27832742067",
"Bangladesh","BGD","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5352.99935449748","5495.32175081895","5593.22788455827","5644.85789873835","5766.9475547663","5871.58594222028","5981.58874650311","6130.44136236919","6249.8551747659","6414.86632937047","6592.22242830355","6700.33202491254","6883.92835855186","7079.64846241762","7382.90605512419","7696.15603853314","8184.0010492183","8630.33813722664","9010.02206855963","9209.08775618171","9675.15749525396","10156.7564699751","10602.432966843","11033.6919085211","11544.2056197561","12136.4639116975","12168.6835760015","12760.0844293331","13472.0202521163","13921.0404665014","14539.5978250667","15109.0205842014",
"Bulgaria","BGR","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","28572.8932925089","27804.0291896858","28239.6107327835","27923.6434393188","28572.8113201474","31014.0028082862","27458.1382619151","28500.3012313951","27142.6223087517","29614.9786829221","31896.8813110204","33944.7539925842","34632.0318885364","35845.6579405018","38350.0279055952","39408.3248800781","40341.6572757556","41586.3704728217","41630.9120780675","43962.2433710346","46500.3908441187","47220.2367344526","46933.825180624","46639.276093113","47357.6308479021","48960.8655309031","48095.2313097795","49273.9657667286","49938.1367983621","49577.1086953651","54164.9854337443","58246.4980001303",
"Bahrain","BHR","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92962.61114404","95775.2129818856","104100.249895965","100030.68198642","99888.5047542853","99852.3166192062","98745.2365755029","99174.3269258075","99159.5022177729","100120.180757109","98482.5200676066","97682.2911720348","97985.7430512861","95857.611154761","92489.7232486983","89376.0272521422","88172.9579031069","85692.1846340562","80728.7665377044","80799.9246592792","83370.9000691838","84764.6695650364","86407.6997090919","87760.6605814714","86915.736331295","86236.8403998033","86142.1134271341","85557.4098763346","87012.4193157151","86745.7900006132","89387.4012080789","91923.9832802242",
"Bahamas, The","BHS","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78049.4806137099","75047.3954234323","71373.8843220956","72561.8526888403","71488.7190608562","73323.6993626095","71129.7014957358","71496.7514286483","74482.5561733604","75670.6966395959","75774.4191156887","78187.7681482685","77487.2022019615","76297.368210421","77433.0132425799","75690.5494390093","75723.4426428369","73075.0797639978","73969.8263634951","73790.401733576","72969.8989857608","73399.9102833631","72082.2461924794","70246.0030078321","68449.914188741","67414.0947647811","65838.8723984963","66897.1061130281","65579.3042556474","53771.5819298484","60334.808462418","65899.7506564509",
"Bosnia and Herzegovina","BIH","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6662.72784822155","8218.75011275456","14906.1501019494","19340.990271605","22053.7429338694","23945.7136333872","27026.1072193287","27504.5302614338","28864.4551418029","30071.2478908164","32453.8965101928","34181.7028783145","36530.1339147179","37316.6664589156","36289.8488315659","36153.2244183677","38084.4263092148","39562.6276233144","39808.6705437725","41318.5231414143","41390.6335073621","43743.2611447391","44423.5419302778","43516.4629217373","44685.6698330309","44030.8094594323","43238.1567470406","44016.3586538074","46090.0348046546",
"Belarus","BLR","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19398.3807911658","17930.4339207503","17480.0481032949","16113.7356108542","15217.3768810157","17044.229162497","17372.9218360856","18132.1868345292","18396.0013272628","19109.1007851991","19654.1489618385","20352.6572636483","21543.4369247243","23791.4663365659","25729.3926037795","28004.1561390252","30034.9827882652","32705.6641070484","32300.4106907507","34769.1978047511","36538.1880243945","37090.051874798","37457.4432801232","38113.105556055","36592.2655047973","35695.2530865478","36621.7874271438","37620.0612833028","38135.9200152549","38138.3961154513","39321.7872202441","37956.6037595606",
"Belize","BLZ","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23858.0307041953","26105.1507663149","27006.2348346147","26715.3673828111","26332.4776803891","25854.5389656379","25298.9568320067","25438.2248547008","26032.4430804059","27253.644194379","26827.3252097959","27385.052545361","28875.4073919136","29157.0620528645","28726.6799489136","28353.3064844772","27863.7202757997","26265.3826040918","25148.1558983708","24464.5724248513","23451.9535905691","23392.9532024864","23528.1693411815","23334.8806350717","23016.2359105001","22032.4300588369","21029.066973993","20895.9722512442","21471.3020541527","18929.0388097459","21323.08481762","22373.1134352032",
"Bermuda","BMU","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11413.9981575501","11383.3569916842","11539.8293801611","11752.8100601044","11938.3145855685","12101.9804738889","12324.0890044446","12604.7510431521","12358.9730669278","12473.0368160171","12443.457765677","12498.3664543598","12579.3086096367","12827.3330339722","13118.5891972945","12925.1020094756","13526.7167552102","13868.3226456907","14002.6047965578","14217.5638632034","14588.2574325079","15709.0609174368","16319.6731592083","16287.3570369798","17991.0887511878","18372.51104172","18441.0413139613","17985.3377126758","18344.4417403735","17445.3727655086","18093.7613901837","17983.2219827743",
"Brazil","BRA","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26587.3280901491","25786.4384457277","26259.5965252898","27218.5663619903","27836.1637437836","28857.1429357297","29026.4981870446","28770.1523929621","28297.6220238473","28563.0161150539","28249.2851849302","28140.9657202681","28137.7845916705","28615.4977031714","28859.9917483708","29351.0785853054","30657.8469456563","31456.4416401237","31228.0572070255","33189.4135243504","34490.3805399434","34220.8623570035","34700.7026690105","34376.9691297752","33253.5818327897","33004.073631386","33310.8883787294","33288.764244603","32920.8242946361","34726.8008046503","34565.6360656452","33118.7933478966",
"Barbados","BRB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34347.9486864048","32555.423396927","32962.9783062603","32436.5524106512","31278.6543183181","31039.1723367615","31952.1559620424","32183.0292434993","31476.1229381503","31874.679130918","30737.5087147861","31415.273813247","31794.7176648123","31338.6676453754","32236.8588639632","34658.6220021575","34680.1170401645","35071.196775685","33856.6206498106","33186.943315501","32961.7827061907","33528.0518925025","32635.3878101369","34109.2414923569","33776.4610358907","33070.3657507268","33715.9288062332","33556.0710917207","34196.2079749111","31185.9579663563","30520.4949144146","33158.8374061147",
"Brunei Darussalam","BRN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","175986.769041634","179453.404115513","175352.495695506","176083.609899977","178733.237869922","178203.011603311","169743.153127885","163077.103130122","162333.287536421","161174.651241884","159919.174769998","161470.90416378","161622.521835313","158164.085057932","154889.283377939","158113.9132128","154819.111714307","148670.470829539","143243.012249757","144390.978964171","147412.613800492","147592.256994223","143466.604948612","139069.315477562","138898.887594919","135811.317740042","138357.726670415","130149.392556601","132940.147327043","134805.451692898","130685.775230425","126385.470395289",
"Bhutan","BTN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6979.94942745341","7594.06636691773","8107.26411711153","8486.26867150473","8953.5552485938","9222.03266525339","9481.71675076654","9771.78029509997","10196.3011202191","10156.5986699337","10606.8814974697","11302.4736438534","11688.7284744168","11973.746618087","12467.6392043117","13005.9166793731","15148.2905633088","15546.0167611744","16292.9266545673","18154.3314223873","19416.7569450758","20722.0282346153","20683.9327043318","22384.6763660939","23239.9961160846","24789.4619972584","25560.5559218978","26056.5909732842","26901.6340634129","25310.0865277647","25579.1713997533","",
"Botswana","BWA","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34101.8931870869","34877.003444689","35297.380564253","36376.4067985666","37692.5459276024","38674.9486551277","40324.917999949","39162.3644940057","40369.0684637711","38927.8736135471","38956.1605103452","41316.5612705531","43415.3065481519","42220.6855362159","41814.3249271237","42944.3831149623","43168.3740759716","42367.6922791589","34664.7292625371","39984.0879473988","41528.8612823458","40375.0414841273","43632.3574258275","44967.5607647356","41711.1047414418","43330.0339465553","43828.4964158913","44361.567822189","44462.0865967491","40938.401935907","43832.4026662001","44687.6585602522",
"Central African Republic","CAF","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3198.49431815888","2910.33406862539","2834.09597938085","2883.75744990815","3010.24170722788","2816.26734793691","2882.00187838339","2930.39197960395","2947.20386555194","2788.03459386272","2843.44806958958","2877.29768333243","2653.9659563903","2751.9227593554","2714.35033487316","2787.95581521262","2866.73533977624","2867.0979362375","3052.44414001572","3143.57143902573","3237.9355725403","3402.53214950593","2174.26737447084","2211.95258184708","2322.74303948866","2390.97858422701","2453.55860058862","2496.62048637865","2515.5102831974","2504.13543609472","2463.10338335068","2403.77444584948",
"Canada","CAN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70587.9131736531","72033.1084380116","73657.1401007485","75404.7098151192","76117.9285894259","76655.2777532325","78239.992506671","79335.2994892742","81348.8267819284","83483.1202714079","83909.7841019321","84395.155985779","83891.4799988295","85103.827008097","86712.5244266175","87515.7741731284","87380.0828214686","87026.465703409","85932.905977893","87397.5982286477","88855.9085429769","89414.7995956695","90317.6264940887","92444.5454355942","92565.940695195","92700.5309884491","93585.7847082609","94727.1216716119","94419.2571632191","94700.6093980841","95025.9003012044","94231.8632660637",
"Central Europe and the Baltics","CEB","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29470.628183481","28854.0804254081","29787.8072694041","31131.2235313571","32917.5557156747","34567.5244872895","34808.4258394881","35709.5966227606","36930.8931295147","39321.6729169501","41097.0216903963","44114.964992183","45833.0853224287","48638.9031095619","50632.5339482558","52716.5824433038","54672.0302614864","56092.1335523387","55214.7490905873","56585.4219978017","58858.9055112873","59203.9450114111","59590.2068738728","60418.2463425747","62159.9276166892","63169.4550741207","65132.2687355526","67782.1405766819","70119.234660455","68600.2907982077","73707.9158766508","76361.7385937155",
"Switzerland","CHE","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98919.7933098311","99159.3396878681","99187.9929937511","101086.883294911","100890.808275118","100656.237084958","103476.159819754","104714.652744293","105527.164281257","109246.139659822","109052.086675616","108336.58502575","108395.404395099","111431.035205033","114090.139006905","116428.992033644","118644.190364382","118765.940986564","115199.793852221","120637.203443211","120014.586700091","120000.679355183","120960.62166","121691.67646084","121793.986805666","122388.784549584","123040.529400322","125525.698742397","126160.850197331","123797.143440245","130812.687342819","131686.033562653",
"Channel Islands","CHI","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29033.4292256825","30760.1326859777","31886.9414871424","33116.465986138","34470.0636753501","36822.9097652164","38740.9876910852","39632.5178096761","40587.6042623514","42088.8981962473","43295.231541313","44181.6433261241","44816.60261639","46851.6923587579","47971.7935553698","48802.2466897697","49715.2280581551","50183.883180594","50109.147152271","50287.2487574567","50869.1422046912","53099.8083875836","53844.5466191461","54135.2993519566","54579.5844574387","55068.6791526672","54616.7228459057","55778.7345427003","55283.394705455","57356.8728761589","60177.7033469278","58254.4990500457",
"China","CHN","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2794.91357507282","3152.57571302692","3559.50060041376","3980.81709981067","4361.12687584513","4730.6417602735","5091.54328346188","5409.74327906441","5747.90649713362","6154.54833653882","6638.20165303331","7197.88335391218","7867.58906479297","8575.93449394856","9467.67556477963","10594.2881263849","12064.3935366397","13256.2993902008","14536.6441425058","16082.5169067729","17525.7424908289","18895.044528389","20364.0472294539","21854.4462088761","23378.5693205737","24962.2772160986","26734.5290540548","28579.5548730539","30397.0293000064","32213.1186595703","33481.5045393708","34538.723763539",
"Cote d'Ivoire","CIV","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12878.2784937688","12318.1072240522","11674.1624763204","11182.9397954913","11388.7743981271","11772.3249518042","12406.3988442298","12494.3037095305","12328.2472419011","12062.097818148","11609.0963982969","11090.2584804894","10346.3599445744","10425.5913109747","10291.1445932147","10334.5097363309","10209.9225798241","10445.7361130454","10576.1494788019","11033.2738792812","10265.57736332","10846.0388067449","11408.2729707955","12066.3035081234","12448.6903222426","12837.3884008999","13565.6374491573","13732.809697432","14123.7392189627","14105.5005795237","14515.784735072","14846.9952625881",
"Cameroon","CMR","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7979.19919207893","7518.41970271419","6737.54686558345","6656.97862543169","6658.37100020175","6741.23627998563","6827.55458133627","6930.38337898976","7025.90013805074","7079.61323382187","7160.62073036556","7197.57985207592","7301.66531252904","7523.82466067519","7415.35488807465","7425.10837226317","7469.58362775268","7640.51813406732","7811.62864960696","8030.48589724733","8156.41879082115","8389.81168961414","8663.63398105459","8976.72506673242","9165.00176059839","9285.7857318656","9342.54376710084","9439.60508378792","9484.26441182045","9344.58786697105","9375.91561637095","9351.81119360984",
"Congo, Dem. Rep.","COD","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3996.19258685872","3477.63885308282","2917.44671641835","2649.69502003931","2551.25276429083","2505.50100148406","2356.81342364836","2277.3826440039","2123.22695675676","1922.91241037034","1825.40220192881","1820.95615626089","1866.91476167043","1934.29044877343","1989.01498524227","2058.21491396149","2149.43098847865","2246.80200397714","2276.64111012392","2398.21788359002","2517.42797126712","2652.06253554394","2781.48570037904","2943.23969484648","3045.3397293026","3013.28769884444","3020.89043408594","3098.62356148242","3140.49345426373","3149.3626510186","3217.23617247997","3366.6420717802",
"Congo, Rep.","COG","GDP per person employed (constant 2017 PPP $)","SL.GDP.PCAP.EM.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16558.6953735696","16500.7309982774","15851.6923372318","14544.6217500136","14677.8717884456","14883.2699685735","14535.5128674793","14766.2008889895","13976.9647555541","14287.2324687182","14151.6414964973","14442.7248050878","14131.1589620691","14046.6345716667","14506.7226699299","15027.8731814195","13531.8401999973","13893.5685343793","14863.4254686385","15668.7870019598","15577.3161601559","16719.8185816545","16343.4294154591","17084.4167931169","16857.1082214178","15094.1514050709","13910.6490157385","13271.8842473346","13084.0025917464","12347.414324632","12073.7767961611","11778.5491319761",
