Nation,Date,Significance of this date
England (United Kingdom),23 April,"Saint George's Day, patron saint of England. Sometimes proposed as National Day."
Equatorial Guinea,12 October,Independence from Spain in 1968
Eritrea,24 May,Eritrean People's Liberation Front (EPLF) fighters enter Asmara in 1991 and Eritrea becomes a de facto independent state; United Nations recognizes Eritrea's independence from Ethiopia in 1993 after a UN-supervised referendum on nationhood.
Estonia,24 February,Anniversary of the Republic of Estonia on the date of its declaration of independence from the Russian and German Empires in 1918
Eswatini,6 September,"Independence Day, independence from the United Kingdom in 1968"
Ethiopia,28 May,"Downfall of the Derg Day, the Derg regime is defeated in 1991"
European Union,9 May,"Europe Day, commemorating the Schuman Declaration of 1950"
Extremadura (Spain),8 September,"Feast of Our Lady of Guadalupe, patron saint of Extremadura"
Falkland Islands (United Kingdom),14 August,"Falklands Day, first recorded sighting of the islands in 1592"
Falkland Islands (United Kingdom),14 June,"Liberation Day, Liberation from Argentinean occupation at the end of the Falklands War in 1982"
Faroe Islands (Denmark),29 July,Ólavsøka (Saint Olaf's death at the Battle of Stiklestad in 1030): opening of the Løgting (parliament) session
Federation of Bosnia and Herzegovina (Bosnia and Herzegovina),1 March,"Independence Day, Referendum on independence from Yugoslavia in 1992"
Federation of Bosnia and Herzegovina (Bosnia and Herzegovina),25 November,"Statehood Day, formation of the State Anti-fascist Council for the National Liberation of Bosnia and Herzegovina in 1943"
Fiji,10 October,"Fiji Day, independence from the United Kingdom in 1970"
Finland,6 December,"Independence Day, declaration of independence from Russia in 1917"
Flanders (Belgium),11 July,"Feestdag van de Vlaamse Gemeenschap, Battle of the Golden Spurs on 11 July 1302."
Florida (United States),2 April,Pascua Florida is day or week (as declared by the Governor) celebrating the founding of Florida by Juan Ponce de León on 2 April 1513.
France,14 July,"Bastille Day (known as la Fête Nationale in France), commemorating the storming of the Bastille on 14 July 1789"
French Community (Belgium),27 September,French Community Holiday
French Guiana (France),10 June,Abolition of slavery day
French Polynesia (France),29 June,Internal Autonomy day
Gabon,17 August,Independence from France in 1960
The Gambia,18 February,Independence from the United Kingdom in 1965
Georgia,26 May,"Day of First Republic, declaration of independence from Russia in 1918"
German Empire,18 January,Proclamation of the German Empire on 18 January 1871 in the Palace of Versailles.
East Germany,7 October,"Republic Day, declaration of the German Democratic Republic in 1949"
German-speaking Community (Belgium),15 November,Day of the German-speaking Community
Germany,3 October,"German Unity Day, unification of West Germany and East Germany in 1990"
Ghana,6 March,Independence from the United Kingdom in 1957
Gibraltar (United Kingdom),10 September,"Gibraltar National Day, people of Gibraltar vote to reject Spanish sovereignty or association in 1967"
Greece,25 March,"Greek Independence Day, start of the Greek Revolution against the Ottoman Empire in 1821"
Greece,28 October,"Ohi Day, refusal to the surrender the country on the Italian troops, and honour at the dead during the Greco-Italian War and the Greek Resistance against the Axis in 1940–1944"
Greenland (Denmark),21 June,(Longest Day of the Year) Greenland national day was introduced in 1983 as one of the Home Rule's traditions and is thus one of several expressions of national identity
Grenada,7 February,Independence from United Kingdom in 1974
Guadeloupe (France),27 May,Abolition of slavery Day
Guam (United States),21 July,"Liberation Day, American landing on Guam 1944, the beginning of the Battle of Guam"
Guatemala,15 September,Independence from the Kingdom of Spain in 1821
Guernsey (British Islands),9 May,"Liberation Day, the end of the German occupation of the Channel Islands in 1945"
Guinea,2 October,Independence from France in 1958
Guinea-Bissau,24 September,Declaration of independence from Portugal in 1973
Guyana,23 February,"Mashramani, declaration of the Republic in 1970"
Guyana,26 May,Declaration of independence from the United Kingdom in 1966
Haiti,1 January,Declaration of independence from France in 1804
Herm (British Islands),9 May,"Liberation Day, the end of the German occupation of the Channel Islands in 1945"
Honduras,15 September,Independence from the Kingdom of Spain in 1821
Hong Kong (China),1 July,Transfer of sovereignty to the PRC in 1997
Hong Kong (China),1 October,National Day of the People's Republic of China (Proclamation of the People's Republic of China in 1949)
Hungary,15 March,1848 Revolution Memorial Day
Hungary,20 August,Saint Stephen's Day
Hungary,23 October,1956 Revolution Memorial Day
Iceland,17 June,"National Day, founding of the Republic and dissolution of the personal union with Denmark in 1944"
India,26 January,"Republic Day, adoption of the Constitution of India in 1950"
India,15 August,Independence from the British Empire in 1947
India,2 October,"Gandhi Jayanti, birth anniversary of Mahatma Gandhi (Father of the Nation) in 1869"
Indonesia,17 August,Proclamation of Independence (Hari Proklamasi Kemerdekaan R.I.) from the kingdom of the Netherlands in 1945
Iran,11 February,Victory of the Islamic Revolution in 1979
Iran,1 April,Iranian Islamic Republic Day
Iraq,3 October,Independence from the United Kingdom in 1932
Ireland,17 March,"Saint Patrick's Day, the patron saint of Ireland"
Isle of Man (British Islands),5 July,"Tynwald Day, annual festive outdoor meeting of the Tynwald (parliament)"
Israel,5 Iyar,"Yom Ha'atzmaut, proclamation of independence from the British Mandate of Palestine in 1948
(date varies according to Jewish calendar on 5 Iyar.)"
Italy,2 June,"Festa della Repubblica, Italy is made a republic in 1946"
Jamaica,6 August,Independence from the United Kingdom in 1962
Japan,11 February,"National Foundation Day, Jimmu, the first emperor, is crowned in 660 BC"
Jersey (British Islands),9 May,"Liberation Day, the end of the German occupation of the Channel Islands in 1945"
Jordan,25 May,Independence from the United Kingdom in 1946
Kazakhstan,16 December,"Kazakhstan Independence Day, independence from the Soviet Union in 1991"
Kenya,12 December,"Independence from the United Kingdom in 1963; (Jamhuri Day), made a republic in 1964"
Kiribati,12 July,Independence from the United Kingdom in 1979
Kosovo (Disputed),17 February,Unilateral declaration of independence from Serbia in 2008
Kurdistan (Iraq),21 March,"Nowruz, Persian New Year, celebrated on the spring equinox"
Kuwait,25 February,"National Day, anniversary of the 1950 coronation of Abdullah Al-Salim Al-Sabah, who won Kuwait's independence from the British Empire eleven years later"
Kyrgyzstan,31 August,"Independence Day, declaration of independence from the Soviet Union in 1991"
Laos,2 December,"National Day, declaration of the People's Republic in 1975"
La Rioja (Spain),9 June,Anniversary of the approval of La Rioja's Statute of Autonomy establishing it as an autonomous community
Latvia,18 November,"Proclamation Day of the Republic of Latvia, independence from the Russian Empire in 1918"
Lebanon,22 November,Lebanese Independence Day from France in 1943
Lesotho,4 October,Independence from the United Kingdom in 1966
Liberia,26 July,Proclamation of the Republic: independence from the United States in 1847
Libya,24 December,Anniversary of Libyan independence in 1951
Liechtenstein,15 August,Feast of the Assumption and birth of Prince Franz Joseph II in 1906
Lithuania,16 February,"Lithuanian State Reestablishment Day, declaration of independence from the Russian and German Empires in 1918"
Lombardy (Italy),29 May,Lombard League defeats the imperial army of Frederick Barbarossa in the Battle of Legnano
Luxembourg,23 June,Grand Duke's Official Birthday
Macau (China),1 October,National Day of the People's Republic of China (Proclamation of the People's Republic of China in 1949)
Macau (China),20 December,Transfer of sovereignty to the PRC in 1999
Madagascar,26 June,Independence from France in 1960
Madeira (Portugal),1 July,"Madeira Day, day of autonomy within Portugal in 1976"
Madrid (Spain),1 May,"Dos de Mayo Uprising, part of the Peninsular War, a civilian rebellion against the French occupation of the city"
Malawi,6 July,Independence from the United Kingdom in 1964; declaration of the Republic in 1966
Malaysia,31 August,"Hari Kebangsaan, independence from the United Kingdom (as Malaya) in 1957. Also known as Hari Kebangsaan (National Day) in Malay."
Malaysia,16 September,"Malaysia Day, formation of Malaysia by uniting Malaya, Sabah, Sarawak, and Singapore into a single country in 1963. Proposed to be the second national day after Hari Merdeka."
Maldives,1 Rabi' al-Awwal,Independence from the Portuguese Empire in c.1573 (date varies according to the Islamic Calendar)
Mali,22 September,Independence from the Mali Federation in 1960
Malta,31 March,"Freedom Day, withdrawal of the last British troops from Malta in 1979"
Malta,7 June,"Sette Giugno, bread riot of 1919 in which 4 Maltese men died"
Malta,8 September,"Victory Day, celebrating the victory of the Knights of St. John over the Ottoman Empire in the Great Siege of Malta in 1565, the end of the French occupation in 1800, and the surrender of Italy to the Allies in 1943"
Malta,21 September,"Independence Day, independence from the United Kingdom in 1964"
Malta,13 December,"Republic Day, adoption of the republican constitution of 1974"
Marshall Islands,1 May,"Constitution Day, adoption of the Compact of Free Association in 1979"
Martinique (France),22 May,Abolition of slavery day
Mauritania,28 November,Independence from France in 1960
Mauritius,12 March,Independence Day - Independence from the United Kingdom in 1968; formation of the Republic in 1992
Mayotte (France),27 April,Abolition of slavery day
Melilla (Spain),17 September,Anniversary of the 1497 Conquest of Melilla by the Duke of Medina Sidonia
Mexico,16 September,"Grito de Dolores, beginning of the War of Independence from Spain in 1810"
Micronesia,3 November,Independence from the US-administered UN Trusteeship in 1979
Minas Gerais (Brazil),21 April,Hanging of Tiradentes in 1792
Minas Gerais (Brazil),16 July,Elevation of the village of Mariana to the status of city.
Moldova,27 August,"Independence Day, declaration of independence from the Soviet Union in 1991"
Monaco,19 November,Accession of Prince Albert II to the throne in 2005
Mongolia,26 November,"Republic Day, proclamation of the Mongolian People's Republic in 1924"
Mongolia,29 December,"Independence Day, this day commemorates the independence from China in 1911."
Montenegro,21 May,Independence from Serbia and Montenegro in 2006
Montenegro,13 July,recognised as independent at the Congress of Berlin in 1878
Montserrat (United Kingdom),3rd Saturday in June,King's Official Birthday
Morocco,18 November,Accession of Muhammad V to the throne in 1927
Mozambique,25 June,Independence from Portugal in 1975
Murcia (Spain),9 June,Anniversary of the approval of the Region of Murcia's Statute of Autonomy establishing it as an autonomous community
Myanmar,10th day of Tazaungmon,"Commemorates the anniversary of the first university student strike at Rangoon University in 1920
Note: Not to be confused with Independence Day (Myanmar)"
Namibia,21 March,Independence from South Africa in 1990
Nauru,31 January,"Independence from the Australia, NZ, and UK-administered UN trusteeship 1968"
Nepal,19 September,"Constitution Day, commemorating the adoption of the Constitution in 2015"
Kingdom of the Netherlands,27 April,"King's Day, King Willem-Alexander's birthday in 1967"
Kingdom of the Netherlands,5 May,"Liberation Day, end of German occupation in 1945"
New Zealand,6 February,"Waitangi Day, signing of the Treaty of Waitangi in 1840"
Nicaragua,15 September,Independence from the Kingdom of Spain in 1821
Niger,18 December,"Republic Day, made an autonomous state within the French Community in 1958"
Nigeria,1 October,Independence from the United Kingdom in 1960
Niue,19 October,Self-government in free association with New Zealand in 1974
Norfolk Island (Australia),8 June,Beginning of permanent settlement of the island by migrants from the Pitcairn Islands in 1856
North Korea,15 August,Liberation from Japanese rule in 1945 (Chogukhaebangŭi nal)
North Korea,9 September,Day of the Foundation of the Republic in 1948
North Korea,10 October,Party Foundation Day in 1945
North Macedonia,2 August,"Republic Day, proclamation of statehood in 1944 and proclamation of Kruševo Republic in 1903 during the Ilinden Uprising"
North Macedonia,8 September,"Independence Day (Den na nezavisnosta), declaration of independence from Yugoslavia in 1991"
Northern Ireland (United Kingdom),17 March,St. Patrick's Day; a public holiday sometimes associated with Irish nationalism
Northern Ireland (United Kingdom),12 July,"""The Twelfth"" commemorates the Battle of the Boyne in 1690; a public holiday associated with Ulster unionism"
Northern Mariana Islands (United States),8 January,"Commonwealth Day, the constitutional government takes office in 1978"
Norway,17 May,"Constitution Day, the signing of the Norwegian Constitution in Eidsvoll 1814"
Oman,18 November,"National Day of Oman, independence from Portugal in 1650 and the 1940 birthday of Sultan Qaboos bin Said al Said who reigned 1970–2020"
Pakistan,23 March,"Pakistan Day, the Pakistan Resolution passed in Lahore in 1940. Pakistan became a Republic in 1956 with the 1956 Constitution of Pakistan."
Pakistan,14 August,"Independence Day, independence from the British Empire in 1947"
Palau,9 July,"Constitution Day, adoption of the Constitution in 1980"
Palau,1 October,"Independence Day, full independence in 1994"
Palestine,15 November,Declaration of Independence in 1988
Panama,3 November,"Separation Day, independence from Colombia in 1903"
Papua New Guinea,16 September,Independence from Australia in 1975
Paraguay,14 May,"Independence Day (Día de Independencia), declaration of independence from Spain in 1811"
Peru,28 July,Declaration of independence from Spain in 1821
Philippines,12 June,"Araw ng Kalayaan, declaration of independence from Spain in 1898"
Pitcairn Islands (United Kingdom),3rd Saturday in June,King's Official Birthday
Poland,3 May,"3 May Constitution Day, celebrates the declaration of the Constitution of 3 May 1791, first constitution of its kind in Europe"
Poland,11 November,"Święto Niepodległości (Independence Day), restoration of independence from Austria-Hungary, Germany, and Russia in 1918"
Portugal,10 June,"Portugal Day, officially the Day of Portugal, Camões, and the Portuguese Communities, death of national poet Luís de Camões in 1580"
Puerto Rico (United States),25 July,"Constitution Day, establishment of Commonwealth of Puerto Rico in 1952; formerly Invasion Day, day of the American invasion in 1898"
Qatar,18 December,"Qatar National Day, the assumption of power by Emir Jassim bin Mohammed Al Thani in 1878"
Québec (Canada),24 June,"Saint-Jean-Baptiste Day, feast day of John the Baptist, the patron saint of French Canadians"
Rio Grande do Sul (Brazil),20 September,"Expulsion of the Brazilian Army from Porto Alegre at the Farroupilha Revolution, followed by a Declaration of Independence on 1836."
Romania,1 December,"Great Union Day, unification with Transylvania and achievement of the Great Union in 1918"
Russia,12 June,"Russia Day, Declaration of State Sovereignty in 1990"
Rwanda,1 July,Independence from Belgium in 1962
Réunion (France),20 December,Abolition of slavery day
Saba (Kingdom of the Netherlands),1st Friday in December,"Saba Day celebrates, on the first Friday in December, the adoption of the flag of Saba in December 1985"
Sabah (Malaysia),31 August,"Sabah Day, is celebrated to commemorate Sabah's independence from United Kingdom before joining Malaysia along with Sarawak and Singapore on 16 September 1963. It has since been celebrated since 2023."
Saint Helena (United Kingdom),3rd Saturday in June,King's Official Birthday
Saint Kitts and Nevis,19 September,Independence from the United Kingdom in 1983
Saint Lucia,22 February,"Independence Day, independence from the United Kingdom in 1979"
Saint Vincent and the Grenadines,27 October,"Independence Day, independence from the United Kingdom in 1979"
Samoa,1 June,"Independence Day, independence from New Zealand in 1962"
San Marino,3 September,Foundation of the city by Marinus in year 301 (traditional date); also is the St. Marinus Day.
Sardinia (Italy),28 April,"Sardinian revolution and expulsion of Piedmontese Viceroy and Sardinian-Piedmontese officials from Cagliari, capital and largest city of Sardinia"
São Paulo (Brazil),9 July,Constitutionalist Revolt against Vargas Regime in 1932
Sarawak (Malaysia),22 July,"Sarawak Independence Day, independence from United Kingdom before joining Malaysia along with Sabah and Singapore on 16 September."
Sark (British Islands),10 May,"Liberation Day, the end of the German occupation of the Channel Islands in 1945"
Saudi Arabia,23 September,"Saudi National Day, renaming of the Kingdom of Nejd and Hejaz to the Kingdom of Saudi Arabia in 1932"
Scotland (United Kingdom),30 November,"Saint Andrew's Day, patron saint of Scotland"
Senegal,4 April,Independence from France in 1960
Serbia,15 February,"Statehood Day, start of the Serbian Revolution against Ottoman Empire in 1804; Constitution Day, adoption of the first Constitution in 1835"
Seychelles,18 June,"National Day, adoption of a multi-party democratic constitution in 1993"
Sierra Leone,27 April,"Republic Day, independence from the United Kingdom in 1961"
Singapore,9 August,"National Day, independence from Malaysia in 1965"
Sint Maarten (Kingdom of the Netherlands),11 November,Sint Maarten's Day
Slovakia,1 January,"Day of the Establishment of the Slovak Republic, this day commemorates when Czechoslovakia split into the Czech Republic and Slovakia in 1993"
Slovenia,25 June,"Statehood Day, declaration of independence from Yugoslavia in 1991"
Solomon Islands,7 July,"Independence Day, independence from the United Kingdom in 1978"
Somalia,1 July,Independence from Italy and unification with Somaliland in 1960
Somaliland (Disputed),18 May,Declaration of independence from Somalia in 1991
Somaliland (Disputed),26 June,Independence of the State of Somaliland from the United Kingdom in 1960
South Africa,27 April,"Freedom Day, first democratic general election in 1994"
South Georgia and the South Sandwich Islands (United Kingdom),3rd Saturday in June,Liberation from Argentina at the end of the Falklands War in 1982 and King's Official Birthday
South Korea,1 March,Declaration of independence from the Empire of Japan in 1919
South Korea,15 August,Liberation from Japanese rule in 1945 (Gwangbokjeol); declaration of the Republic in 1948
South Korea,3 October,"Gaecheonjeol, ancient Korea founded in 2333 BC"
South Sudan,9 July,"Independence Day, independence from Sudan in 2011"
South Vietnam,26 October,1955 South Vietnam referendum created First Republic of Vietnam replacing State of Vietnam
South Vietnam,1 November,1963 South Vietnam coup d'état created Second Republic of Vietnam replacing First Republic of Vietnam
Soviet Union,7 November,"October Revolution Day, commemorating the Great October Socialist Revolution in 1917"
Spain,12 October,"Fiesta Nacional de Espana, Columbus discovery of America in 1492"
Sri Lanka,4 February,"Independence Day, independence from the United Kingdom in 1948 under the name of Ceylon"
Republika Srpska (Bosnia and Herzegovina),9 January,"Proclamation of the Republic, separate from Bosnia and Herzegovina and part of Yugoslavia, in 1992"
Sudan,1 January,Independence from the United Kingdom and the Republic of Egypt in 1956
Suriname,25 November,"Independence Day, independence from the Netherlands in 1975"
Sweden,6 June,National Day: election of Gustav Vasa as King of Sweden in 1523; adoption of the constitutions of 1809 and 1974
Switzerland,1 August,"National Day, alliance between Uri, Schwyz and Unterwalden against the Holy Roman Empire in 1291"
Syria,17 April,"Evacuation Day, end of French colonial rule in 1946"
São Tomé and Príncipe,12 July,Independence from Portugal in 1975
Tajikistan,9 September,"Independence Day, declaration of independence from the Soviet Union in 1991"
Tanzania,9 December,"Independence Day, independence from British rule in 1961"
Tatarstan (Russia),30 August,Declaration of independence from the RSFSR in 1990
Thailand,5 December,Birthday of Late King Bhumibol Adulyadej in 1927
Togo,27 April,Independence from the French-administered UN trusteeship in 1960
Tonga,4 June,Emancipation Day abolition of serfdom 1862; independence from the United Kingdom in 1970
Tonga,4 November,National Day 1875
Transnistria,2 September,"Independence Day, declaration of independence from Moldova in 1990"
Trinidad and Tobago,31 August,"Independence Day, independence from the United Kingdom in 1962"
Tristan da Cunha (United Kingdom),3rd Saturday in June,King's Official Birthday
Tunisia,20 March,Declaration of independence from France in 1956
Turkey,29 October,"Republic Day (Cumhuriyet Bayramı), adoption of a republican constitution in 1923"
Turkmenistan,27 September,"Independence Day, declaration of independence from the Soviet Union in 1991"
Turks and Caicos Islands (United Kingdom),30 August,"Constitution Day, adoption of a constitution in 1976"
Tuvalu,1 October,"Independence Day, independence from the Gilbert Islands (Kiribati) in 1975 and from the United Kingdom in 1978"
Uganda,9 October,Independence from the United Kingdom in 1962
Ukraine,15 July,"Statehood Day, commemoration of the Christianization of Kievan Rus'"
Ukraine,24 August,Independence from the Soviet Union in 1991. See Independence Day of Ukraine
United Arab Emirates,2 December,"National Day, formation of the federation of seven emirates on independence from the United Kingdom in 1971"
United Kingdom,3rd Saturday in June (unofficial),"Does not have a recognized national day (see proposed British national day), although the King's Official Birthday (King Charles III's was announced as being the third Saturday in June) is sometimes considered as such, for example, in British diplomatic institutions overseas"
United States,4 July,"Independence Day, first 13 States declare independence from the Kingdom of Great Britain (1776)."
United States Virgin Islands (United States),31 March,"Transfer Day, transfer of the islands from Denmark to the United States in 1917"
Uruguay,25 August,Declaration of Independence from Brazil in 1825
Uzbekistan,1 September,"Independence Day, declaration of independence from the Soviet Union in 1991"
Valencian Community (Spain),9 October,Anniversary of the creation of the Kingdom of Valencia in 1238
Vanuatu,30 July,"Independence Day, independence from the United Kingdom and France in 1980"
Vatican City,11 February,"Foundation of Vatican City, signing of the Lateran Treaty in 1929"
Venezuela,5 July,"Independence Day, declaration of independence from Spain in 1811"
Vietnam,2 September,"National Day, declaration of independence from France and Japan in 1945"
Wales (United Kingdom),1 March,"Saint David's Day, feast day of patron saint of Wales"
Wallonia (Belgium),3rd Sunday of September,Day of the Walloon Region
Yemen,22 May,"Unity Day, North and South Yemen are unified as the Republic of Yemen in 1990"
Yugoslavia,29 November,"Day of the Republic, celebrating the anniversary of the second session of AVNOJ, paving way for the establishment of the second Yugoslav state"
Zambia,24 October,"Independence Day, declaration of independence from the United Kingdom in 1964"
Zimbabwe,18 April,Granting of independence by the United Kingdom in 1980; it had previously declared independence as Rhodesia on 11 November 1965
