Country or region,Highest point,Maximum elevation,Lowest point,Minimum elevation,Elevation span
Bermuda,Town Hill,"76 m
249 ft",North Atlantic Ocean,sea level,"76 m
249 ft"
Bhutan,Gangkhar Puensum,"7570 m
24,836 ft",Drangme Chhu,"97 m
318 ft","7473 m
24,518 ft"
Bir Tawil,Gabal Hagar El Zarqa,"662 m
2,172 ft",[data missing],,
Bolivia,Sajama,"6542 m
21,463 ft",Paraguay River,"90 m
295 ft","6452 m
21,168 ft"
Bosnia and Herzegovina,Maglić,"2386 m
7,828 ft",Adriatic Sea,sea level,"2386 m
7,828 ft"
Botswana,Otse Hill,"1491 m
4,892 ft",Confluence of Limpopo River and Shashe River,"513 m
1,683 ft","978 m
3,209 ft"
Bouvet Island,Olavtoppen,"935 m
3,068 ft",South Atlantic Ocean,sea level,"935 m
3,068 ft"
Brazil,Pico da Neblina,"2995 m
9,826 ft",Atlantic Ocean,sea level,"2995 m
9,826 ft"
British Indian Ocean Territory,Unnamed location on Diego Garcia,"15 m
49 ft",Indian Ocean,sea level,"15 m
49 ft"
Brunei,Bukit Pagon,"1850 m
6,070 ft",South China Sea,sea level,"1850 m
6,070 ft"
Bulgaria,Musala,"2925 m
9,596 ft",Black Sea,sea level,"2925 m
9,596 ft"
Burkina Faso,Mount Tenakourou,"749 m
2,457 ft",Black Volta,"200 m
656 ft","549 m
1,801 ft"
Burundi,Mount Heha,"2684 m
8,806 ft",Lake Tanganyika,"772 m
2,533 ft","1912 m
6,273 ft"
Cambodia,Phnom Aural,"1810 m
5,938 ft",Gulf of Thailand,sea level,"1810 m
5,938 ft"
Cameroon,Mount Cameroon,"4040 m
13,255 ft",Bight of Bonny,sea level,"4040 m
13,255 ft"
Canada,Mount Logan,"5959 m
19,551 ft","North Atlantic Ocean
Arctic Ocean
North Pacific Ocean",sea level,"5959 m
19,551 ft"
Cape Verde,Pico do Fogo,"2829 m
9,281 ft",North Atlantic Ocean,sea level,"2829 m
9,281 ft"
Cayman Islands,The Bluff on Cayman Brac,"46 m
151 ft",Caribbean Sea,sea level,"46 m
151 ft"
Central African Republic,Mont Ngaoui,"1420 m
4,659 ft",Ubangi River,"335 m
1,099 ft","1085 m
3,560 ft"
Chad,Emi Koussi,"3445 m
11,302 ft",Djourab Depression,"160 m
525 ft","3285 m
10,778 ft"
Chile,Ojos del Salado,"6893 m
22,615 ft",South Pacific Ocean,sea level,"6893 m
22,615 ft"
China,Mount Everest,"8848 m
29,029 ft",Ayding Lake,"−154 m
−505 ft","9,002 m
29,534 ft"
Christmas Island,Murray Hill,"361 m
1,184 ft",Indian Ocean,sea level,"361 m
1,184 ft"
Clipperton Island,Rocher Clipperton,"29 m
95 ft",North Pacific Ocean,sea level,"29 m
95 ft"
Cocos (Keeling) Islands,Unnamed location,"5 m
16 ft",Indian Ocean,sea level,"5 m
16 ft"
Colombia,"Pico Cristóbal Colón
Pico Simón Bolívar","5730 m
18,799 ft","North Pacific Ocean
Caribbean Sea",sea level,"5730 m
18,799 ft"
Comoros,Mount Karthala on Grande Comore,"2360 m
7,743 ft",Indian Ocean,sea level,"2360 m
7,743 ft"
Democratic Republic of the Congo,Mount Stanley (Margherita Peak),"5109 m
16,762 ft",South Atlantic Ocean,sea level,"5109 m
16,762 ft"
Republic of the Congo,Mont Nabemba,"1020 m
3,346 ft",South Atlantic Ocean,sea level,"1020 m
3,346 ft"
Cook Islands,Te Manga on Rarotonga,"652 m
2,139 ft",South Pacific Ocean,sea level,"652 m
2,139 ft"
Coral Sea Islands,Unnamed location on Cato Island,"29 m
95 ft",South Pacific Ocean,sea level,"29 m
95 ft"
Costa Rica,Cerro Chirripó,"3820 m
12,533 ft","North Pacific Ocean
Caribbean Sea",sea level,"3820 m
12,533 ft"
Ivory Coast,Mont Nimba,"1752 m
5,748 ft",Gulf of Guinea,sea level,"1752 m
5,748 ft"
Croatia,Dinara,"1831 m
6,007 ft",Adriatic Sea,sea level,"1831 m
6,007 ft"
Cuba,Pico Turquino,"1974 m
6,476 ft",Caribbean Sea,sea level,"1974 m
6,476 ft"
Curaçao,Christoffelberg,"375 m
1,230 ft",Caribbean Sea,sea level,"375 m
1,230 ft"
Cyprus,Mount Olympus,"1951 m
6,401 ft",Mediterranean Sea,sea level,"1951 m
6,401 ft"
Czech Republic,Sněžka,"1603 m
5,259 ft",Elbe,"115 m
377 ft","1487 m
4,879 ft"
Denmark,Møllehøj,"171 m
561 ft",Lammefjord,"−7 m
−23 ft","178 m
584 ft"
Djibouti,Mousa Ali,"2028 m
6,654 ft",Lake Assal,"−155 m
−509 ft","2183 m
7,162 ft"
Dominica,Morne Diablotins,"1447 m
4,747 ft",Caribbean Sea,sea level,"1447 m
4,747 ft"
Dominican Republic,Pico Duarte,"3098 m
10,164 ft",Lake Enriquillo on Hispaniola,"−45 m
−148 ft","3143 m
10,312 ft"
Ecuador,Chimborazo,"6267 m
20,561 ft",Pacific Ocean,sea level,"6267 m
20,561 ft"
Egypt,Mount Catherine,"2629 m
8,625 ft",Qattara Depression,"−133 m
−436 ft","2762 m
9,062 ft"
El Salvador,Cerro El Pital,"2730 m
8,957 ft",North Pacific Ocean,sea level,"2730 m
8,957 ft"
Equatorial Guinea,Pico Basile on Bioko,"3008 m
9,869 ft",North Atlantic Ocean,sea level,"3008 m
9,869 ft"
Eritrea,Emba Soira,"3018 m
9,902 ft",Lake Kulul,"−75 m
−246 ft","3093 m
10,148 ft"
Estonia,Suur Munamägi,"318 m
1,043 ft",Baltic Sea,sea level,"318 m
1,043 ft"
Eswatini,Emlembe,"1862 m
6,109 ft",Maputo River,"21 m
69 ft","1841 m
6,040 ft"
Ethiopia,Ras Dejen,"4550 m
14,928 ft",Danakil Depression,"−125 m
−410 ft","4675 m
15,338 ft"
Falkland Islands,Mount Usborne on East Falkland,"705 m
2,313 ft",South Atlantic Ocean,sea level,"705 m
2,313 ft"
Faroe Islands,Slættaratindur on Eysturoy,"880 m
2,887 ft",North Atlantic Ocean,sea level,"880 m
2,887 ft"
Fiji,Tomanivi on Viti Levu,"1324 m
4,344 ft",South Pacific Ocean,sea level,"1324 m
4,344 ft"
Finland,Halti,"1324 m
4,344 ft",Baltic Sea,sea level,"1324 m
4,344 ft"
France,Mont Blanc,"4810 m
15,781 ft",Étang de Lavalduc,"−10 m
−33 ft","4820 m
15,814 ft"
French Guiana,Bellevue de l'Inini,"851 m
2,792 ft",North Atlantic Ocean,sea level,"851 m
2,792 ft"
French Polynesia,Mont Orohena,"2241 m
7,352 ft",South Pacific Ocean,sea level,"2241 m
7,352 ft"
French Southern and Antarctic Lands,Mont Ross on Kerguelen Islands,"1850 m
6,070 ft",Indian Ocean,sea level,"1850 m
6,070 ft"
Gabon,Mont Bengoué,"1070 m
3,510 ft",Atlantic Ocean,sea level,"1070 m
3,510 ft"
Gambia,Unnamed point,"64 m
210 ft",North Atlantic Ocean,sea level,"64 m
210 ft"
Georgia,Shkhara,"5201 m
17,064 ft",Black Sea,sea level,"5201 m
17,064 ft"
Germany,Zugspitze,"2962 m
9,718 ft",Neuendorf-Sachsenbande,"−4 m
−12 ft","2966 m
9,729 ft"
Ghana,Mount Afadjato,"880 m
2,887 ft",Gulf of Guinea,sea level,"880 m
2,887 ft"
Gibraltar,Rock of Gibraltar,"426 m
1,398 ft",Strait of Gibraltar,sea level,"426 m
1,398 ft"
Greece,Mount Olympus,"2917 m
9,570 ft",Epitalio,"−6 m
−20 ft","2917 m
9,570 ft"
Greenland,Gunnbjørn Fjeld,"3700 m
12,139 ft","Arctic Ocean
North Atlantic Ocean",sea level,"3700 m
12,139 ft"
Grenada,Mount Saint Catherine,"840 m
2,756 ft",Caribbean Sea,sea level,"840 m
2,756 ft"
Guadeloupe,La Grande Soufrière on Basse-Terre Island,"1484 m
4,869 ft",Caribbean Sea,sea level,"1484 m
4,869 ft"
Guam,Mount Lamlam,"406 m
1,332 ft",North Pacific Ocean,sea level,"406 m
1,332 ft"
Guatemala,Volcán Tajumulco,"4220 m
13,845 ft","North Pacific Ocean
Caribbean Sea",sea level,"4220 m
13,845 ft"
Guernsey,Le Moulin,"114 m
374 ft",English Channel,sea level,"114 m
374 ft"
Guinea,Mont Nimba,"1752 m
5,748 ft",North Atlantic Ocean,sea level,"1752 m
5,748 ft"
Guinea-Bissau,Monte Torin,"262 m
860 ft",North Atlantic Ocean,sea level,"262 m
860 ft"
Guyana,Mount Roraima,"2772 m
9,094 ft",North Atlantic Ocean,sea level,"2772 m
9,094 ft"
Haiti,Pic la Selle,"2680 m
8,793 ft",Caribbean Sea,sea level,"2680 m
8,793 ft"
Heard Island and McDonald Islands,Big Ben (Mawson Peak),"2745 m
9,006 ft",Indian Ocean,sea level,"2745 m
9,006 ft"
Honduras,Cerro Las Minas,"2870 m
9,416 ft","Caribbean Sea
North Pacific Ocean",sea level,"2870 m
9,416 ft"
Hong Kong,Tai Mo Shan,"958 m
3,143 ft",South China Sea,sea level,"958 m
3,143 ft"
Hungary,Kékes,"1014 m
3,327 ft",Tisza,"76 m
249 ft","938 m
3,077 ft"
Iceland,Hvannadalshnúkur,"2110 m
6,921 ft",North Atlantic Ocean,sea level,"2110 m
6,921 ft"
India,Kangchenjunga,"8586 m
28,169 ft",Kuttanad,"−2 m
−7 ft","8588 m
28,177 ft"
Indonesia,Puncak Jaya on New Guinea,"4884 m
16,024 ft","Indian Ocean
South Pacific Ocean",sea level,"4884 m
16,024 ft"
Iran,Damavand,"5610 m
18,406 ft",Caspian Sea,"−28 m
−92 ft","5638 m
18,497 ft"
Iraq,Cheekha Dar,"3611 m
11,847 ft",Persian Gulf,sea level,"3611 m
11,847 ft"
Ireland,Carrauntoohil,"1038 m
3,406 ft",North Slob,"−3 m
−10 ft","1038 m
3,406 ft"
Isle of Man,Snaefell,"621 m
2,037 ft",Irish Sea,sea level,"621 m
2,037 ft"
Israel,"Mount Meron (de jure; inside the Green Line)
Mount Hermon (de facto; in the occupied Golan Heights)","1208 m
3,963 ft",Dead Sea,"−428 m
−1,404 ft","1636 m
5,367 ft"
Italy,Mont Blanc,"4810 m
15,781 ft",Jolanda di Savoia,"−3 m
−10 ft","4813 m
15,791 ft"
Jamaica,Blue Mountain Peak,"2256 m
7,402 ft",Caribbean Sea,sea level,"2256 m
7,402 ft"
Japan,Mount Fuji on Honshu,"3776 m
12,388 ft",Hachiro-gata on Honshu,"−4 m
−13 ft","3780 m
12,402 ft"
Jersey,Les Platons,"136 m
446 ft",English Channel,sea level,"136 m
446 ft"
Jordan,Jabal Umm ad Dami,"1854 m
6,083 ft",Dead Sea,"−428 m
−1,404 ft","2276 m
7,467 ft"
Kazakhstan,Khan Tengri,"7010 m
22,999 ft",Karagiye Depression,"−132 m
−433 ft","7142 m
23,432 ft"
Kenya,Mount Kenya,"5199 m
17,057 ft",Indian Ocean,sea level,"5199 m
17,057 ft"
Kiribati,Unnamed location on Banaba,"81 m
266 ft",Pacific Ocean,sea level,"81 m
266 ft"
North Korea,Paektu-san,"2744 m
9,003 ft","Sea of Japan
Yellow Sea",sea level,"2744 m
9,003 ft"
South Korea,Halla-san on Jejudo,"1950 m
6,398 ft","Sea of Japan
Yellow Sea",sea level,"1950 m
6,398 ft"
Kosovo,Velika Rudoka,"2660 m
8,728 ft",White Drin,"297 m
974 ft","2359 m
7,740 ft"
Kuwait,Mutla Ridge,"306 m
1,004 ft",Persian Gulf,sea level,"306 m
1,004 ft"
Kyrgyzstan,Jengish Chokusu,"7439 m
24,406 ft",Kara Darya,"435 m
1,427 ft","7004 m
22,979 ft"
Laos,Phou Bia,"2817 m
9,242 ft",Mekong,"70 m
230 ft","2747 m
9,012 ft"
Latvia,Gaiziņkalns,"312 m
1,024 ft",Baltic Sea,sea level,"312 m
1,024 ft"
Lebanon,Qurnat as Sawda',"3088 m
10,131 ft",Mediterranean Sea,sea level,"3088 m
10,131 ft"
Lesotho,Thabana Ntlenyana,"3482 m
11,424 ft",Confluence of Orange River and Makhaleng River,"1400 m
4,593 ft","2082 m
6,831 ft"
Liberia,Mount Wuteve,"1440 m
4,724 ft",North Atlantic Ocean,sea level,"1440 m
4,724 ft"
Libya,Bikku Bitti,"2267 m
7,438 ft",Sabkhat Ghuzayyil,"−47 m
−154 ft","2314 m
7,592 ft"
Liechtenstein,Grauspitz,"2599 m
8,527 ft",Rhine,"430 m
1,411 ft","2169 m
7,116 ft"
Lithuania,Aukštojas Hill,"294 m
964 ft",Nemunas Delta,"−5 m
−16 ft","295 m
968 ft"
Luxembourg,Kneiff,"560 m
1,837 ft",Moselle River,"133 m
436 ft","427 m
1,401 ft"
Macau,Coloane Alto on Gau Ou Saan,"172 m
564 ft",South China Sea,sea level,"172 m
564 ft"
North Macedonia,Golem Korab,"2764 m
9,068 ft",Vardar,"50 m
164 ft","2714 m
8,904 ft"
Madagascar,Maromokotro,"2876 m
9,436 ft",Indian Ocean,sea level,"2876 m
9,436 ft"
Malawi,Mount Mulanje,"3002 m
9,849 ft",Shire River,"37 m
121 ft","2965 m
9,728 ft"
Malaysia,Gunung Kinabalu on Borneo,"4095 m
13,436 ft","South China Sea
Indian Ocean",sea level,"4095 m
13,436 ft"
Maldives,Mount Villingili on Villingili,"5 m
17 ft",Indian Ocean,sea level,"5 m
17 ft"
Mali,Hombori Tondo,"1155 m
3,789 ft",Senegal River,"23 m
75 ft","1132 m
3,714 ft"
Malta,Ta'Dmejrek on Malta Island,"253 m
830 ft",Mediterranean Sea,sea level,"253 m
830 ft"
Marshall Islands,Unnamed location on Likiep,"10 m
33 ft",North Pacific Ocean,sea level,"10 m
33 ft"
Martinique,Mount Pelée,"1397 m
4,583 ft",Caribbean Sea,sea level,"1397 m
4,583 ft"
Mauritania,Kediet ej Jill,"915 m
3,002 ft",Sebkha de Ndrhamcha,"−5 m
−16 ft","920 m
3,018 ft"
Mauritius,Piton de la Petite Rivière Noire,"828 m
2,717 ft",Indian Ocean,sea level,"828 m
2,717 ft"
Mayotte,Benara on Mahoré,"660 m
2,165 ft",Mozambique Channel,sea level,"660 m
2,165 ft"
Mexico,Volcán Citlaltépetl (Pico de Orizaba),"5636 m
18,491 ft",Laguna Salada,"−10 m
−33 ft","5646 m
18,524 ft"
Federated States of Micronesia,Nanlaud on Pohnpei,"782 m
2,566 ft",North Pacific Ocean,sea level,"782 m
2,566 ft"
Moldova,Bălănești Hill,"430 m
1,411 ft",Dniester,"2 m
7 ft","428 m
1,404 ft"
Monaco,along Chemin des Révoires on Mont Agel,"161 m
528 ft",Mediterranean Sea,sea level,"161 m
528 ft"
Mongolia,Khüiten Peak,"4374 m
14,350 ft",Hoh Nuur,"518 m
1,699 ft","3856 m
12,651 ft"
Montenegro,Zla Kolata,"2534 m
8,314 ft",Adriatic Sea,sea level,"2534 m
8,314 ft"
Montserrat,Chances Peak,"915 m
3,002 ft",Caribbean Sea,sea level,"915 m
3,002 ft"
Morocco,Jbel Toubkal,"4167 m
13,671 ft",Sebkha Tah,"−55 m
−180 ft","4222 m
13,852 ft"
Mozambique,Monte Binga,"2436 m
7,992 ft",Mozambique Channel,sea level,"2436 m
7,992 ft"
Myanmar,Hkakabo Razi,"5881 m
19,295 ft",Indian Ocean,sea level,"5881 m
19,295 ft"
Namibia,Königstein,"2573 m
8,442 ft",South Atlantic Ocean,sea level,"2573 m
8,442 ft"
Nauru,Command Ridge,"65 m
213 ft",South Pacific Ocean,sea level,"65 m
213 ft"
Nepal,Mount Everest,"8848 m
29,029 ft",Mukhiyapatti Musharniya,"59 m
194 ft","8789 m
28,835 ft"
Netherlands,Mount Scenery on Saba,"887 m
2,910 ft","Vergeten Plek, in the Zuidplaspolder near Waddinxveen","−7 m
−22 ft","894 m
2,932 ft"
New Caledonia,Mont Panié,"1628 m
5,341 ft",Coral Sea,sea level,"1628 m
5,341 ft"
New Zealand,Aoraki / Mount Cook in the South Island,"3724 m
12,218 ft","Unnamed location near Momona, Taieri Plains, Otago","−2 m
−7 ft","3726 m
12,224 ft"
Nicaragua,Mogotón,"2107 m
6,913 ft","North Pacific Ocean
Caribbean Sea",sea level,"2107 m
6,913 ft"
Niger,Mont Idoukal-n-Taghès,"2022 m
6,634 ft",Niger River,"200 m
656 ft","1822 m
5,978 ft"
Nigeria,Chappal Waddi,"2419 m
7,936 ft",Unnamed location on Lagos Island,"−0.2 m
−0.7 ft","2419 m
7,937 ft"
Niue,Unnamed location near Mutalau on Niue,"68 m
223 ft",South Pacific Ocean,sea level,"68 m
223 ft"
Norfolk Island,Mount Bates,"319 m
1,047 ft",South Pacific Ocean,sea level,"319 m
1,047 ft"
Northern Mariana Islands,Mount Agrihan on Agrihan,"965 m
3,166 ft",North Pacific Ocean,sea level,"965 m
3,166 ft"
Norway,Galdhøpiggen,"2469 m
8,100 ft",Norwegian Sea,sea level,"2469 m
8,100 ft"
Oman,Jabal Shams,"3009 m
9,872 ft",Arabian Sea,sea level,"3009 m
9,872 ft"
Pakistan,K2,"8611 m
28,251 ft",Arabian Sea,sea level,"8611 m
28,251 ft"
Palau,Mount Ngerchelchuus on Babeldaob,"242 m
794 ft",North Pacific Ocean,sea level,"242 m
794 ft"
Palestine,Mount Nabi Yunis,"1030 m
3,379 ft",Dead Sea,"−428 m
−1,404 ft","1444 m
4,738 ft"
Panama,Volcán Barú,"3475 m
11,401 ft","North Pacific Ocean
Caribbean Sea",sea level,"3475 m
11,401 ft"
Papua New Guinea,Mount Wilhelm,"4509 m
14,793 ft",South Pacific Ocean,sea level,"4509 m
14,793 ft"
Paraguay,Cerro Peró,"842 m
2,762 ft",Paraguay River,"46 m
151 ft","796 m
2,612 ft"
Peru,Huascarán,"6768 m
22,205 ft",Bayóvar Depression,"−34 m
−112 ft","6802 m
22,316 ft"
Philippines,Mount Apo on Mindanao,"2954 m
9,692 ft","Philippine Sea
South China Sea",sea level,"2954 m
9,692 ft"
Pitcairn Islands,Pawala Valley Ridge,"347 m
1,138 ft",South Pacific Ocean,sea level,"347 m
1,138 ft"
Poland,Northwestern peak of Rysy,"2500 m
8,202 ft",Marzęcino,"−2 m
−7 ft","2502 m
8,209 ft"
Portugal,Montanha do Pico on Pico Island,"2351 m
7,713 ft",North Atlantic Ocean,sea level,"2351 m
7,713 ft"
Puerto Rico,Cerro de Punta,"1338 m
4,390 ft",Caribbean Sea,sea level,"1338 m
4,390 ft"
Qatar,Qurayn Abu al Bawl,"103 m
338 ft",Persian Gulf,sea level,"103 m
338 ft"
Réunion,Piton des Neiges,"3069 m
10,069 ft",Indian Ocean,sea level,"3069 m
10,069 ft"
Romania,Moldoveanu,"2544 m
8,346 ft",Black Sea,sea level,"2544 m
8,346 ft"
Russia,Mount Elbrus,"5642 m
18,510 ft",Caspian Sea,"−28 m
−92 ft","5670 m
18,602 ft"
Rwanda,Mount Karisimbi,"4507 m
14,787 ft",Ruzizi River,"950 m
3,117 ft","3557 m
11,670 ft"
Sahrawi Arab Democratic Republic,Tikhzoukhane,"605 m
1,985 ft",Sebjet Tah,"−55 m
−180 ft","660 m
2,165 ft"
Saint Barthélemy,Morne du Vitet,"286 m
938 ft",Caribbean Sea,sea level,"286 m
938 ft"
"Saint Helena, Ascension and Tristan da Cunha",Queen Mary's Peak on Tristan da Cunha,"2060 m
6,759 ft",South Atlantic Ocean,sea level,"2060 m
6,759 ft"
Saint Kitts and Nevis,Mount Liamuiga on Saint Kitts,"1156 m
3,793 ft",Caribbean Sea,sea level,"1156 m
3,793 ft"
Saint Lucia,Mount Gimie,"950 m
3,117 ft",Caribbean Sea,sea level,"950 m
3,117 ft"
Saint Martin,Pic Paradis on Saint Martin,"424 m
1,391 ft",Caribbean Sea,sea level,"424 m
1,391 ft"
Saint Pierre and Miquelon,Morne de la Grande Montagne on Miquelon,"240 m
787 ft",North Atlantic Ocean,sea level,"240 m
787 ft"
Saint Vincent and the Grenadines,La Soufrière,"1234 m
4,049 ft",Caribbean Sea,sea level,"1234 m
4,049 ft"
Samoa,Mauga Silisili on Savai'i,"1857 m
6,093 ft",South Pacific Ocean,sea level,"1857 m
6,093 ft"
San Marino,Monte Titano,"739 m
2,425 ft",Ausa River,"55 m
180 ft","684 m
2,244 ft"
São Tomé and Príncipe,Pico de São Tomé on São Tomé Island,"2024 m
6,640 ft",Gulf of Guinea,sea level,"2024 m
6,640 ft"
Saudi Arabia,Jabal Sawda (official) or Jabal Farwa' (most recent survey),"3000 m
9,843 ft","Persian Gulf
Red Sea",sea level,"3000 m
9,843 ft"
Senegal,Baunez ridge 2.7 km southeast of Nepen Diakha,"648 m
2,126 ft",North Atlantic Ocean,sea level,"648 m
2,126 ft"
Serbia,"Midžor
(Velika Rudoka if Kosovo is considered part of Serbia)","2169 m
7,116 ft",Confluence of the Timok River and the Danube River,"28 m
92 ft","2141 m
7,024 ft"
Seychelles,Morne Seychellois on Mahé,"905 m
2,969 ft",Indian Ocean,sea level,"905 m
2,969 ft"
Sierra Leone,Mount Bintumani,"1948 m
6,391 ft",North Atlantic Ocean,sea level,"1948 m
6,391 ft"
Singapore,Bukit Timah Hill,"164 m
537 ft",Singapore Strait,sea level,"164 m
537 ft"
Sint Maarten,200 m SW of Flagstaff Peak (The summit is wholly in Saint Martin.),"383 m
1,257 ft",Caribbean Sea,sea level,"383 m
1,257 ft"
Slovakia,Gerlachovský štít,"2655 m
8,711 ft",Bodrog,"94 m
308 ft","2561 m
8,402 ft"
Slovenia,Triglav,"2864 m
9,396 ft",Adriatic Sea,sea level,"2864 m
9,396 ft"
Solomon Islands,Mount Popomanaseu on Guadalcanal,"2335 m
7,661 ft",South Pacific Ocean,sea level,"2335 m
7,661 ft"
Somalia,Shimbiris,"2450 m
8,038 ft",Indian Ocean,sea level,"2450 m
8,038 ft"
South Africa,Mafadi,"3450 m
11,319 ft","South Atlantic Ocean
Indian Ocean",sea level,"3450 m
11,319 ft"
South Georgia and the South Sandwich Islands,Mount Paget,"2934 m
9,626 ft",South Atlantic Ocean,sea level,"2934 m
9,626 ft"
South Sudan,Kinyeti,"3187 m
10,456 ft",White Nile,"350 m
1,148 ft","2837 m
9,308 ft"
Spain,Teide on Tenerife,"3715 m
12,188 ft","North Atlantic Ocean
Mediterranean Sea",sea level,"3715 m
12,188 ft"
Spratly Islands,Unnamed location on Southwest Cay,"4 m
13 ft",South China Sea,sea level,"4 m
13 ft"
Sri Lanka,Pidurutalagala on Sri Lanka,"2524 m
8,281 ft",Indian Ocean,sea level,"2524 m
8,281 ft"
Sudan,Deriba Caldera,"3042 m
9,980 ft",Red Sea,sea level,"3042 m
9,980 ft"
Suriname,Juliana Top,"1230 m
4,035 ft",North Atlantic Ocean,sea level,"1230 m
4,035 ft"
Svalbard and Jan Mayen,Haakon VII Toppen,"2277 m
7,470 ft",Norwegian Sea,sea level,"2277 m
7,470 ft"
Sweden,Kebnekaise,"2097 m
6,880 ft",Kristianstad,"−2 m
−8 ft","2099 m
6,888 ft"
Switzerland,"Dufourspitze
(Monte Rosa)","4634 m
15,203 ft",Lake Maggiore,"193 m
633 ft","4441 m
14,570 ft"
Syria,Jabal el-Sheikh,"2814 m
9,232 ft",Northeast shores of the Sea of Galilee in the Golan Heights (from Syrian point of view; See Israeli-occupied territories),"−214 m
−702 ft","2814 m
9,232 ft"
Taiwan,Yu Shan (Jade Mountain),"3952 m
12,966 ft","Philippine Sea
South China Sea
East China Sea",sea level,"3952 m
12,966 ft"
Tajikistan,Ismoil Somoni Peak,"7495 m
24,590 ft",Syr Darya,"300 m
984 ft","7195 m
23,606 ft"
Tanzania,Kilimanjaro,"5892 m
19,331 ft",Indian Ocean,sea level,"5892 m
19,331 ft"
Thailand,Doi Inthanon,"2565 m
8,415 ft","Gulf of Thailand
Andaman Sea",sea level,"2565 m
8,415 ft"
Timor-Leste,Mount Ramelau on Timor,"2963 m
9,721 ft",Timor Sea,sea level,"2963 m
9,721 ft"
Togo,Mont Agou,"986 m
3,235 ft",Bight of Benin,sea level,"986 m
3,235 ft"
Tokelau,Unnamed location,"5 m
16 ft",South Pacific Ocean,sea level,"5 m
16 ft"
Tonga,Unnamed location on Kao,"1033 m
3,389 ft",South Pacific Ocean,sea level,"1033 m
3,389 ft"
Trinidad and Tobago,El Cerro del Aripo on Trinidad,"940 m
3,084 ft",Caribbean Sea,sea level,"940 m
3,084 ft"
Tunisia,Jebel ech Chambi,"1544 m
5,066 ft",Shatt al Gharsah,"−17 m
−56 ft","1561 m
5,121 ft"
Turkey,Mount Ararat,"5137 m
16,854 ft","Mediterranean Sea
Black Sea",sea level,"5137 m
16,854 ft"
Turkmenistan,Aýrybaba,"3139 m
10,299 ft",Vpadina Akchanaya,"−81 m
−266 ft","3220 m
10,564 ft"
Turks and Caicos Islands,Blue Hills on Providenciales,"49 m
161 ft",North Atlantic Ocean,sea level,"49 m
161 ft"
Tuvalu,Unnamed location on Niulakita,"5 m
15 ft",South Pacific Ocean,sea level,"5 m
15 ft"
Uganda,Mount Stanley (Margherita Peak),"5109 m
16,762 ft",Albert Nile,"621 m
2,037 ft","4488 m
14,724 ft"
