Country,National anthem,Date adopted (de jure),Lyricist,Composer/Artist,Audio,Length,Ref.
Egypt,"""Bilady, Bilady, Bilady""
(""My Country, My Country, My Country"")",1979,"Mohamed Younis Al-Qady
(adapted from a speech by 
Mustafa Kamil)",Sayed Darwish,"""Bilady, Bilady, Bilady""",1m 26s,
El Salvador,"""Himno Nacional de El Salvador""
(""National Anthem of El Salvador"")",1879,Juan José Cañas,Juan Aberle,"""Himno Nacional de El Salvador""",4m 14s,
Equatorial Guinea,"""Caminemos pisando las sendas de nuestra inmensa felicidad""
(""Let Us Tread the Path of our Immense Happiness"")",1968,Atanasio Ndongo Miyone,Ramiro Sánchez Lopes,"""Caminemos pisando las sendas de nuestra inmensa felicidad""",1m 54s,
Eritrea,"""Ertra, Ertra, Ertra""
(""Eritrea, Eritrea, Eritrea"")",1993,Solomon Tsehaye Beraki,Isaac Abraham Meharezghi and Aron Tekle Tesfatsion,"""Ertra, Ertra, Ertra""",1m 59s,
Estonia,"""Mu isamaa, mu õnn ja rõõm""
(""My Fatherland, My Happiness and Joy"")","1920, 1990",Johann Voldemar Jannsen,Fredrik Pacius,"""Mu isamaa, mu õnn ja rõõm""",0m 32s,
Eswatini,"""Nkulunkulu Mnikati wetibusiso temaSwati""
(""O Lord our God of the Swazi"")",1968,Andrease Enoke Fanyana Simelane,David Kenneth Rycroft,"""Nkulunkulu Mnikati wetibusiso temaSwati""",1m 8s,
Ethiopia,"""Wodefit Gesgeshi, Widd Innat Ityopp'ya""
(""March Forward, Dear Mother Ethiopia"")",1992,Dereje Melaku Mengesha,Solomon Lulu Mitiku,"""Wodefit Gesgeshi, Widd Innat Ityopp'ya""",1m 24s,
Fiji,"""Meda Dau Doka""
(""God Bless Fiji"")",1970,Michael Francis Alexander Prescott,Charles Austin Miles,"""Meda Dau Doka""",1m 26s,
Finland,"Finnish: ""Maamme""
Swedish: ""Vårt Land""
(""Our Land"")",1917,"Johan Ludvig Runeberg (Swedish)
Paavo Cajander (Finnish)",Fredrik Pacius,"""Maamme""",0m 46s,
France,"""La Marseillaise""
(""The Marseillaise"")","1795, 1870",Claude Joseph Rouget de Lisle,Claude Joseph Rouget de Lisle,"""La Marseillaise""",1m 19s,
Gabon,"""La Concorde""
(""The Concorde"")",1960,Georges Aleka Damas,Georges Aleka Damas,"""La Concorde""",1m 45s,
The Gambia,"""For The Gambia Our Homeland""",1965,Virginia Julie Howe,Jeremy Frederick Howe,"""For The Gambia Our Homeland""",1m 20s,
Georgia,"""თავისუფლება Tavisupleba""
(""Freedom"")",2004,David Magradze,Zakaria Paliashvili,"""Tavisupleda""",1m 26s,
Germany,"""Lied der Deutschen""3. verse
(""Song of the Germans"")","1922, 1952",August Heinrich Hoffmann von Fallersleben,Joseph Haydn,"""Lied der Deutschen""",1m 20s,
Ghana,"""God Bless Our Homeland Ghana""",1957,Government committee,Philip Gbeho,"""God Bless Our Homeland Ghana""",0m 57s,
Greece,"""Ὕμνος εἰς τὴν Ἐλευθερίαν/Ὕμνος πρὸς τὴν ἘλευθερίανÝmnos
eis tīn Eleutherían""
(""Hymn to Liberty"" or ""Hymn to Freedom"")",1865,Dionýsios Solomós,Nikolaos Mantzaros,"""Ýmnos eis tīn Eleutherían""",0m 45s,
Grenada,"""Hail Grenada""",1974,Irva Merle Baptiste,Louis Arnold Masanto,"""Hail Grenada""",1m 17s,
Guatemala,"""Himno Nacional de Guatemala""
(""National Anthem of Guatemala"")",1897,José Joaquín Palma,Rafael Álvarez Ovalle,"""Himno Nacional de Guatemala""",1m 38s,
Guinea,"""Liberté""
(""Freedom"")",1958,Unknown,Kodofo Moussa,"""Liberté""",1m 12s,
Guinea-Bissau,"""Esta É a Nossa Pátria Bem Amada""
(""This Is Our Beloved Country"")",1974,Amílcar Cabral,Xiao He,,1m 1s,
Guyana,"""Dear Land of Guyana, of Rivers and Plains""",1966,Archibald Leonard Luker,Robert Cyril Gladstone Potter,"""Dear Land of Guyana, of Rivers and Plains""",0m 53s,
Haiti,"""La Dessalinienne""
(""Song of Dessalines"")",1904,Justin Lhérisson,Nicolas Geffrard,"""La Dessalinienne""",0m 37s,
Honduras,"""Himno Nacional de Honduras""
(""National Anthem of Honduras"")",1915,Augusto Constancio Coello,Carlos Hartling,"""Himno Nacional de Honduras""",2m 47s,
Hungary,"""Himnusz""
(""Hymn"")","1844 (de facto)
1989 (de jure)",Ferenc Kölcsey,Ferenc Erkel,"""Himnusz""",1m 41s,
Iceland,"""Lofsöngur""
(""Hymn"")",1944,Matthías Jochumsson,Sveinbjörn Sveinbjörnsson,"""Lofsöngur""",1m 39s,
India,"""जन गण मन ""
(""Jana Gana Mana"")
(""Thou Art the Ruler of the Minds of All People"")",1950,Rabindranath Tagore,Rabindranath Tagore,"""Jana Gana Mana""",1m 4s,
Indonesia,"""Indonesia Raya""
(""Great Indonesia"")",1945,Wage Rudolf Soepratman,Wage Rudolf Soepratman,"""Indonesia Raya""",1m 43s,
Iran,"""Soroud-e Melli-e Jomhouri-e Eslami-e Iran""
(""National Anthem of the Islamic Republic of Iran"")",1990,Sayed Bagheri,Hassan Riyahi,"""Mehre Khâvarân""",0m 57s,
Iraq,"""Mawtini"" (""My Homeland"")",2004,Ibrahim Touqan,Mohammed Flayfel,"""Mawtini""",1m 45s,
Ireland,"""Amhrán na bhFiann""
(""The Soldier's Song"")",1926,"Peadar Kearney (English)
Liam Ó Rinn (Irish)",Peadar Kearney and Patrick Heeney,"""Amhrán na bhFiann""",0m 59s,
Israel,"""הַתִּקְוָה Hatikvah""
(""The Hope"")","1948 (de facto)
2004 (de jure)",Naftali Herz Imber,Samuel Cohen,"""HaTikvah""",1m 14s,
Italy,"""Fratelli d'Italia""
(""Brothers of Italy"")",1946,Goffredo Mameli,Michele Novaro,"""Il Canto degli Italiani""",1m 39s,
Ivory Coast,"""L'Abidjanaise""
(""Song of Abidjan"")",1960,"Mathieu Vangah Ekra [fr], Joachim Bony [fr]
and Pierre Marie Coty [fr]",Pierre-Michel Pango [fr],"""L'Abidjanaise""",1m 9s,
Jamaica,"""Jamaica, Land We Love""",1962,Hugh Sherlock,Robert Lightbourne,"""Jamaica, Land We Love""",1m 21s,
Japan,"""Kimigayo""
(""His Majesty's Reign"")","1880 (de facto)
1999 (de jure)",Traditional Waka poem from the Kokin Wakashū (first published in 905),Yoshiisa Oku and Akimori Hayashi; usually credited to Hiromori Hayashi,"""Kimi ga Yo""",0m 59s,
Jordan,"""Al-salam Al-malaki Al-urdoni""
(""The Royal Anthem of Jordan"")",1946,Abdul Monem Al-Refai,Abdul Qader al-Taneer,"""Al-salam Al-malaki Al-urdoni""",0m 36s,
Kazakhstan,"""Meniñ Qazaqstanım""
(""My Kazakhstan"")",2006,"Zhumeken Nazhimedenov
(with modifications by
Nursultan Nazarbayev)",Shamshi Kaldayakov,"""Meniñ Qazaqstanım""",1m 50s,
Kenya,"""Ee Mungu Nguvu Yetu""
(""Oh God of All Creation"")",1963,"Graham Hyslop, G. W. Senoga-Zake, Thomas Kalume, Peter Kibukosya, and Washington Omondi",The Anthem Commission,"""Ee Mungu Nguvu Yetu""",1m 52s,
Kiribati,"""Kunan Kiribati""
(""Song of Kiribati"")",1979,Tamuera Ioteba Uriam,Tamuera Ioteba Uruam,"""Teirake Kaini Kiribati""",0m 45s,
North Korea,"""Aegukka""
(""The Patriotic Song"")",1947,Pak Seyŏng,Kim Wŏn'gyun,,1m 35s,
South Korea,"""Aegukga""
(""The Patriotic Song"")",1948,An Chang-ho,Ahn Eak-tae,"""Aegukga""",0m 57s,
Kuwait,"""Al-Nasheed Al-Watani""
(""National Anthem"")",1978,Ahmad Meshari Al-Adwani,Ibrahim Al-Soula,"""Al-Nasheed Al-Watani""",0m 35s,
Kyrgyzstan,"""Kyrgyz Respublikasynyn Mamlekettik Gimni""
(""National Anthem of the Kyrgyz Republic"")",1992,Djamil Sadykov and Eshmambet Kuluev,Nasyr Davlesov and Kalyi Moldobasanov,"""Kyrgyz Respublikasynyn Mamlekettik Gimni""",2m 3s,
Laos,"""Pheng Xat Lao""
(""Hymn of the Lao People"")",1947,Sisana Sisane,Thongdy Sounthonevichit,"""Pheng Xat Lao""",0m 50s,
Latvia,"""Dievs, svētī Latviju!""
(""God Bless Latvia"")","1920, 1990",Kārlis Baumanis,Kārlis Baumanis,"""Dievs, svētī Latviju!""",1m 45s,
Lebanon,"""Lebanese National Anthem""",1927,Rashid Nakhle,Wadia Sabra,"""Lebanese National Anthem""",0m 51s,
Lesotho,"""Lesotho Fatše La Bontata Rona""
(""Lesotho, Land of Our Fathers"")",1966,François Coillard,Ferdinand-Samuel Laur,"""Lesotho Fatše La Bontata Rona""",0m 43s,
Liberia,"""All Hail, Liberia, Hail!""",1847,Daniel Bashiel Warner,Olmstead Luca,"""All Hail, Liberia, Hail!""",1m 28s,
Libya,"""Libya, Libya, Libya""",2011,Al Bashir Al Arebi,Mohammed Abdel Wahab,"""Libya, Libya, Libya!""",1m 8s,
Liechtenstein,"""Oben am jungen Rhein""
(""High on the young Rhine"")",1963,Jakob Josef Jauch,Unknown,"""Oben am jungen Rhein""",1m 3s,
Lithuania,"""Tautiška giesmė""
(""National Song"")",1919,Vincas Kudirka,Vincas Kudirka,"""Tautiška giesmė""",1m 47s,
Luxembourg,"""Ons Heemecht""
(""Our Homeland"")",1993,Michel Lentz,Jean Antoine Zinnen,"""Ons Hémécht""",1m 24s,
Madagascar,"""Ry Tanindrazanay malala ô!""
(""Oh, Beloved Land of our Ancestors"")",1958,Pastor Rahajason,Norbert Raharisoa,"""Ry Tanindrazanay malala ô!""",1m 2s,
Malawi,"""Mulungu dalitsa Malaŵi""
(""God Bless Malawi"")",1964,Michael-Fredrick Paul Sauka,Michael-Fredrick Paul Sauka,"""Mulungu dalitsa Malaŵi""",0m 52s,
Malaysia,"""Negaraku""
(""My Country"")",1957,multiple,Pierre-Jean de Béranger,"""Negaraku""",1m 24s,
Maldives,"""Gaumii salaam""
(""National Salute"")",1972,Muhammad Jameel Didi,Pandit Wannakuwattawaduge Don Amaradeva,"""Gaumii salaam""",1m 8s,
Mali,"""Le Mali""
(""Mali"")",1962,Seydou Badian Kouyate,Banzumana Sissoko,"""Le Mali""",1m 19s,
Malta,"""L-Innu Malti""
(""The Maltese Hymn"")",1964,Dun Karm Psaila,Robert Samut,"""L-Innu Malti""",0m 49s,
Marshall Islands,"""Forever Marshall Islands""",1991,Amata Kabua,Amata Kabua,"""Forever Marshall Islands""",2m 18s,
Mauritania,"""Bilada-l ubati-l hudati-l kiram""
(""Country of the Proud, Guiding Noblemen"")",2017,Unknown,Rageh Daoud,Bilada-l ubati-l hudati-l kiram,1m 27s,
Mauritius,"""Motherland""",1968,Jean Georges Prosper,Philippe Gentil (M.B.E. Esq.),"""Motherland""",0m 59s,
Mexico,"""Himno Nacional Mexicano""
(""Mexican National Anthem"")",1943,Francisco González Bocanegra,Jaime Nunó,"""Himno Nacional Mexicano""",1m 42s,
Micronesia,"""Patriots of Micronesia""",1991,Unknown,Traditional German song (Ich hab' mich ergeben),"""Patriots of Micronesia""",0m 36s,
Moldova,"""Limba noastră""
(""Our Language"")","1994 (unofficial)
1995",Alexei Mateevici,Alexandru Cristea,"""Limba noastră""",1m 11s,
Monaco,"""Hymne Monégasque""
(""Monégasque Anthem"")",1848,Louis Notari,Charles Albrecht,"""Hymne Monégasque""",1m 18s,
Mongolia,"""Mongol ulsiin töriin duulal""
(""National Anthem of Mongolia"")",1950,Tsendiin Damdinsüren,Bilegiin Damdinsüren and Luvsanjambyn Mördorj,"""Mongol ulsiin töriin duulal""",1m 39s,
Montenegro,"""Oj, svijetla majska zoro""
(""O, Bright Dawn of May"")",2004,folk song,Žarko Mirković,"""Oj, svijetla majska zoro""",2m 5s,
Morocco,"""Hymne Chérifien""
(""Cherifian Anthem"")",1956,Ali Squalli Houssaini,Léo Morgan,"""Hymne Chérifien""",1m 8s,
Mozambique,"""Pátria Amada""
(Beloved Homeland"")",2002,Salomão J. Manhiça and Mia Couto,Justino Sigaulane Chemane,"""Pátria Amada""",1m 1s,
Myanmar,"""နိုင်ငံတော်သီချင်း""
(""National Anthem"")",1948,U Sein Mya Maung,YMB Saya Tin,,1m 29s,
Namibia,"""Namibia, Land of the Brave""",1991,Axali Doëseb,Axali Doëseb,"""Namibia, Land of the Brave""",1m 29s,
Nauru,"""Nauru Bwiema""
(""Song of Nauru"")",1968,Margaret Hendrie,Laurence Henry Hicks,"""Nauru Bwiema""",1m 18s,
Nepal,"""सयौँ थुँगा फूलका""
(""Made of Hundreds of Flowers"")",2007,Byakul Maila,Amber Gurung,"""Sayaun Thunga Phulka""",1m 10s,
Netherlands,"""Wilhelmus""
(""William"")",1574,"Philips of Marnix, or Dirck Coornhert or Petrus Dathenus",Adrianus Valerius,"""The Wilhelmus""",1m 5s,
New Zealand,"""God Defend New Zealand""","1940 (national hymn)
1977 (national anthem)","Thomas Bracken (English version)

Thomas H. Smith (Māori version)",John Joseph Woods,"""God Defend New Zealand""",1m 3s,
Nicaragua,"""Salve a ti, Nicaragua""
(""Hail to Thee, Nicaragua"")","1939, 1971",Salomón Ibarra Mayorga,Luis A. Delgadillo,"""Salve a ti, Nicaragua""",0m 56s,
Niger,"""L'Honneur de la Patrie""
(""The Honour of the Fatherland"")",2023,,,,,
Nigeria,"""Arise, O Compatriots""",1978,"John A. Ilechukwu, Eme Etim Akpan, B. A. Ogunnaike, Sotu Omoigui, and P. O. Aderibighe","Nigerian Police Band, under the directorship of B. E. Odiase","""Arise, O Compatriots""",1m 49s,
North Macedonia,"""Denes nad Makedonija""
(""Today over Macedonia"")",1992,Vlado Maleski,Todor Skalovski,"""Denes nad Makedonija""",0m 50s,
Norway,"""Ja, vi elsker dette landet""
(""Yes, We Love This Country"")","1864 (de facto)
2019 (de jure)",Bjørnstjerne Bjørnson,Rikard Nordraak,"""Ja, vi elsker dette landet""",1m 2s,
Oman,"""Nashid as-Salaam as-Sultani""
(""Sultanic Salute"")",1932,Rashid bin Uzayyiz Al Khusaidi,"James Frederick Mills, arranged by Bernard Ebbinghaus","""Nashid as-Salaam as-Sultani""",1m 54s,
Pakistan,"""Qaumī Tarāna""
(""National Anthem"")",1954,Hafeez Jullundhri,Ahmed Ghulamali Chagla,"""Qaumī Tarāna""",1m 22s,
Palau,"""Belau rekid""
(""Our Palau"")",1980,multiple,Ymesei O. Ezekiel,"""Belau rekid""",0m 52s,
Palestine,"""Fida'i""
(""Fida'i"")",1996,Said Al Muzayin,Ali Ismael,,3m 36s,
Panama,"""Himno Istmeño""
(""Hymn of the Isthmus"")",1906,Jeronimo de la Ossa,Santos Jorge,"""Himno Istmeño""",1m 50s,
Papua New Guinea,"""O Arise, All You Sons""",1975,Tom Shacklady,Tom Shacklady,"""O Arise, All You Sons""",0m 58s,
Paraguay,"""Himno Nacional Paraguayo""
(""Paraguayan National Anthem"")",1846,Francisco Acuña de Figueroa,Francisco José Debali,"""Paraguayos, República o Muerte""",3m 11s,
Peru,"""Himno Nacional del Perú""
(""National Anthem of Peru"")",1821,José de la Torre Ugarte y Alarcón,Jose Bernardo Alcedo,"""Himno Nacional del Perú""",3m 9s,
Philippines,"""Lupang Hinirang""
(""Chosen Land"")",1898,José Palma,Julián Felipe,"""Lupang Hinirang""",1m 2s,
Poland,"""Mazurek Dąbrowskiego""
(""Poland Is Not Yet Lost"")",1927,Józef Wybicki,Józef Wybicki,"""Mazurek Dąbrowskiego""",0m 43s,
Portugal,"""A Portuguesa""
(""The Portuguese"")",1911,Henrique Lopes de Mendonça,Alfredo Keil,"""A Portuguesa""",1m 18s,
Qatar,"""As Salam al Amiri""
(""Peace to the Amir"")",1996,Sheikh Mubarak bin Saïf al-Thani,Abdul Aziz Nasser Obaidan,"""As Salam Al Amiri""",1m 27s,
Romania,"""Deșteaptă-te, române!""
(""Awaken Thee, Romanian!"")",1990,Andrei Mureșanu,Anton Pann and Gheorghe Ucenescu,"""Deșteaptă-te, române!""",2m 19s,
Russia,"""Gosudarstvenny Gimn Rossiyskoy Federatsii""
(""State Hymn of the Russian Federation"")",2000,Sergey Mikhalkov,Alexander Vasilyevich Alexandrov,"""Gosudarstvenny Gimn Rossiyskoy Federatsii""",1m 22s,
Rwanda,"""Rwanda Nziza""
(""Beautiful Rwanda"")",2002,Faustin Murigo,Jean-Bosco Hashakimana,"""Rwanda Nziza""",2m 19s,
Saint Kitts and Nevis,"""O Land of Beauty!""",1983,Kenrick Georges,Kenrick Georges,"""O Land of Beauty!""",1m 3s,
Saint Lucia,"""Sons and Daughters of Saint Lucia""",1979,Charles Jesse,Leton Felix Thomas,"""Sons and Daughters of Saint Lucia""",0m 43s,
Saint Vincent and the Grenadines,"""Saint Vincent, Land so beautiful""",1979,Phyllis Punnett,Joel Bertram Miguel,"""Saint Vincent, Land so Beautiful""",0m 51s,
Samoa,"""The Banner of Freedom""",1962,Sauni Iiga Kuresa,Sauni Iiga Kuresa,"""The Banner of Freedom""",1m 13s,
San Marino,"""Inno Nazionale della Repubblica""
(""The National Anthem of the Republic"")",1894,No official lyrics,Federico Consolo,,0m 54s,
São Tomé and Príncipe,"""Independência total""
(""Total Independence"")",1975,Alda Neves da Graça do Espírito Santo,Manuel dos Santos Barreto de Sousa e Almeida,"""Independência total""",2m 5s,
Saudi Arabia,"""As-Salam Al Malaki""
(""The Royal Salute"")",1950,Ibrahim Khafaji,Abdul Rahman Al-Khateeb,"""As-Salam Al Malaki""",0m 38s,
Senegal,"""Pincez Tous vos Koras, Frappez les Balafons""
(""Strum your Koras, Strike the Balafons"")",1960,Léopold Sédar Senghor,Herbert Pepper,"""Pincez Tous vos Koras, Frappez les Balafons""",0m 56s,
Serbia,"""Bože pravde""
(""God of Justice"")",2006,Jovan Đorđević,Davorin Jenko,"""Bože pravde""",1m 43s,
Seychelles,"""Koste Seselwa""
(""Join together all Seychellois"")",1996,David François Marc André and George Charles Robert Payet,David François Marc André and George Charles Robert Payet,"""Koste Seselwa""",1m 7s,
Sierra Leone,"""High We Exalt Thee, Realm of the Free""",1961,Clifford Nelson Fyle,John Akar,"""High We Exalt Thee, Realm of the Free""",0m 46s,
Singapore,"""Majulah Singapura""
(""Onward Singapore"")",1965,Zubir Said,Zubir Said,"""Majulah Singapura""",1m 19s,
Slovakia,"""Nad Tatrou sa blýska""
(""Lightning Over the Tatras"")",1918,Janko Matúška,Unknown; folk tune,"""Nad Tatrou sa blýska""",0m 33s,
Slovenia,"""Zdravljica""
(""A Toast"")",1989,France Prešeren,Stanko Premrl,"""Zdravljica""",0m 56s,
Solomon Islands,"""God Save Our Solomon Islands""",1978,Panapasa Balekana and Matila Balekana,Panapasa Balekana,"""God Save Our Solomon Islands""",1m 22s,
Somalia,"""Qolobaa Calankeed""
(""Praise to the Flag"")",2012,Abdullahi Qarshe,Abdullahi Qarshe,"""Qolobaa Calankeed""",1m 6s,
South Africa,"""National anthem of South Africa""",1997,Enoch Sontonga and C. J. Langenhoven,Enoch Sontonga and Marthinus Lourens de Villiers,"""National Anthem of South Africa""",2m 3s,
South Sudan,"""South Sudan Oyee!""",2011,"Students and teachers of Juba University, 2011","Students and teachers of Juba University, 2011","""South Sudan Oyee!""",1m 17s,
