Country,Dance(s)
Macedonia (North Macedonia),"Osogovka, Teshkoto, Kopacka, Belomorski biser, Tresenica, Belomorska kitka, Pousteno, Bajrace, Berance, Berovka, Bufcansko, Vleceno, Vodensko, Gajdarsko, Gluvonemo, Dracevka, Dude Drne, Ibraim odza, Jeni jol, Kavadarka, Kalajdzisko, Komitsko, Krstacko, Lesnoto, Lisolaj, Malesevka, Oroto pocna, Pajdusko, Pembe, Postupano, Potrcano, Potrculka, Ramnoto, Ratevka, Rusalii, Rusinsko, Ratevka, Sitnoto, Skudrinka, Staro oro, Starskoto, Tikvesko, Toska, Sopkata, Cetvorka, Toska, Sopka, Tropnalo oro, Zensko camce"
Madagascar,Hiragasy
Malaysia,Joget
Martinique,Bélé
Mauritius and Réunion,Sega
Mexico,Jarabe tapatío
Moldova,Hora
Mongolia,Biyelgee
Morocco,Gnawa and Reggada
Mozambique,Tufo
Nicaragua,Palo de mayo
Nepal,Newa dance
Netherlands,Klompendansen
New Zealand,Haka
Norway,Hallingdans
Oman,Al-Bar'ah
Pakistan,"Jhumar, Khattak, Bhangra"
Palestine,Dabke
Panama,Tamborito
Papua New Guinea,Sing-sing
Paraguay,"Paraguayan bottle dance, Paraguayan polka"
Peru,Marinera
Philippines,Cariñosa and Tinikling
Poland,"Krakowiak, Kujawiak, Mazur, Oberek, Polonaise"
Portugal,Vira
Puerto Rico,"Danza, Bomba and Plena"
Qatar,Ardah
Romania,"Căluş, Hora, Ciuleandra (dance)"
Russia,"Barynya, Kamarinskaya, Kozachok, Tropak, Khorovod"
Saint Lucia,Kwadril
Samoa and American Samoa,Taualuga
Saudi Arabia,"Ardah, Khaleegy, Mizmar"
Senegal,Mbalax
Serbia,Kolo
Seychelles,Kanmtole
Slovakia,"Čardáš, Karička, Odzemok"
Somalia,Dhaanto
Somaliland,"Saylici, Jaandheer"
South Africa,Gumboot dancing and Indlamu; Volkspele among Afrikaners
Spain,"Sardana, Flamenco, Jota, Malagueñas, Pasodoble"
Sri Lanka,"Kandyan dance, Lowcountry dance, Sabaragamu dance"
Sudan,Tambour dance
Suriname,Kaseko
Sweden,"Polska, Hambo"
Switzerland,Ländler
Syria,Dabke
Thailand,Thai dance
Tonga,Lakalaka
Trinidad and Tobago,"None, unofficially Limbo"
Turkey,"Zeybek, Halay, Horon"
Turkmenistan,Kyushtdepdi
Turks and Caicos,"Ripsaw dance, Rake-and-scrape"
Ukraine,"Hopak, Arkan, Tropak, Metelytsia, Kozachok, Khorovod and Kolomyjka"
United Arab Emirates,"Yowlah, Khaleegy and Ardah"
United Kingdom,"(England) English Country Dance, Rapper Sword Dance, Morris dance, English clogging, Hornpipe. (Scotland) Scottish highland dance. (Wales) Welsh clogging. (Northern Ireland) Irish stepdance."
United States,"No national dance, swing and square dancing unofficially; see List of U.S. state dances; hoop dance, Grass dance, jingle dance, Fancy dance and Native American tribal dance styles dominate in areas populated by Native American tribes."
Uruguay,"Tango, Pericón, Candombe"
Uzbekistan,"Lazgi, Tanovar"
Venezuela,Joropo
Virgin Islands,Quadrille
Yemen,"Al-Bara', Sharh"
